x,y,z,fx,fy,fz,p
2.132453554481062330e+00,-8.691683594049290917e-01,-1.403080351451673202e+00,6.513952434403910274e+01,0.000000000000000000e+00,-6.513952434403910274e+01,3.070706625795749460e+03
-7.401700256581031923e-01,-1.653171267297651736e+00,2.795363880274637225e+00,-3.616283747289363504e+01,0.000000000000000000e+00,3.616283747289363504e+01,1.704732506935338051e+03
2.610877662077405681e+00,2.282539153640736895e+00,-9.246562438553298513e-01,1.134596894677196133e+01,0.000000000000000000e+00,-1.134596894677196133e+01,5.348541054262962007e+02
1.335090106707274904e+00,1.935476075889600578e+00,-2.200443799225460850e+00,2.755068604371841801e+01,0.000000000000000000e+00,-2.755068604371841801e+01,1.298751795190324401e+03
6.345739279487250251e-01,-1.204475384157105200e+00,-2.900959977984010507e+00,5.001779541717657196e+01,0.000000000000000000e+00,-5.001779541717657196e+01,2.357861487965798005e+03
3.230839746468454177e+00,6.565951190823837713e-01,-3.046941594642813556e-01,5.762984741986868897e+01,0.000000000000000000e+00,-5.762984741986868897e+01,2.716697060622347180e+03
3.454114603413886542e+00,4.276841556894694918e-02,8.141930251885141911e-02,5.849658763363093072e+01,0.000000000000000000e+00,5.849658763363094494e+01,2.757555586134237728e+03
2.800412613628753711e+00,2.500000000000000000e+00,7.131093850466828366e-02,0.000000000000000000e+00,2.783620177268852025e+00,-0.000000000000000000e+00,9.278733924229504737e+01
-2.610398256175797016e+00,-1.541870259176989943e+00,9.251356497569436232e-01,-4.154185550620083234e+01,0.000000000000000000e+00,4.154185550620083234e+01,1.958301848767087904e+03
-5.556402537862090707e-01,1.707993054644248332e+00,-2.979893652146528904e+00,-3.274485109219931189e+01,-0.000000000000000000e+00,-3.274485109219931189e+01,1.543607083749190451e+03
-3.727100085964045739e-01,2.500000000000000000e+00,9.826677290527277564e-02,0.000000000000000000e+00,8.228227718579592675e+00,-0.000000000000000000e+00,2.742742572859863799e+02
4.941848115308458689e-01,-2.500000000000000000e+00,1.441547736837248017e+00,0.000000000000000000e+00,-6.479595968787650762e+00,0.000000000000000000e+00,2.159865322929216518e+02
3.214006654180942668e+00,2.553116445637009235e-01,-3.215272517517928641e-01,6.231569679481895463e+01,0.000000000000000000e+00,-6.231569679481895463e+01,2.937590118532085398e+03
6.301901274222437843e-02,-2.500000000000000000e+00,1.823002352364475165e+00,0.000000000000000000e+00,-5.723355775405473800e+00,0.000000000000000000e+00,1.907785258468490781e+02
